Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
NOR,NOR,7,12.0,4.0,2.2151898734177213,2.543768037518038,0.0056457305,0.0056457305,3,0.005896676945556469,0,0.7619047619047619,16,0.18550320870812073
THA,THA,12,18.0,4.0,2.1392405063291138,187.7810900806575,0.007762879,0.007762879,1,0.008642959753785553,0,0.5333333333333333,24,0.1993469352399017
COG,COG,5,8.0,4.0,2.3860759493670884,34.91265562193732,0.0021171488,0.0021171488,1,0.0030117408524747585,0,1.0,1,0.053115793094511955
AUT,AUT,11,28.0,4.0,2.2088607594936707,55.93486100894675,0.007762879,0.007762879,4,0.0077464522633381785,0,0.7333333333333333,33,0.22841433207412923
AFG,AFG,12,33.0,4.0,2.132911392405063,6.539046877776854,0.0091743115,0.0091743115,0,0.008992389357264341,0,0.7575757575757576,50,0.29627260796348504
PHL,PHL,10,46.0,4.0,2.2341772151898733,164.19627733377732,0.007057163,0.007057163,1,0.007503099478927913,0,0.6388888888888888,23,0.16599676443702757
FIN,FIN,3,11.0,4.0,2.7278481012658227,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
AUS,AUS,22,126.0,4.0,2.0569620253164556,303.1841435411715,0.014114326,0.014114326,1,0.014483296336066598,0,0.39766081871345027,68,0.3539442145965038
MAR,MAR,12,29.0,4.0,2.2088607594936707,13.25063623991695,0.008468595,0.008468595,0,0.00859021390153334,0,0.6363636363636364,35,0.23232166716043925
CAN,CAN,26,74.0,4.0,1.9746835443037976,588.2410598894996,0.015525758,0.015525758,5,0.015226487589614856,0,0.4380952380952381,92,0.4057851580697076
BEL,BEL,15,31.0,4.0,2.221518987341772,223.18681716318437,0.009880029,0.009880029,5,0.009776821948073682,0,0.5641025641025641,44,0.2701382646880168
PRK,PRK,11,50.0,4.0,2.189873417721519,41.86082731635636,0.007762879,0.007762879,1,0.008028426999611735,0,0.5555555555555556,25,0.20914658853120693
BOL,BOL,17,66.0,3.0,2.1202531645569622,61.986316988658274,0.011997177,0.011997177,0,0.011777080885180594,0,0.48333333333333334,58,0.30118365944891057
MYS,MYS,9,20.0,4.0,2.1962025316455698,10.950219836765118,0.007057163,0.007057163,0,0.007362732701108759,0,0.5555555555555556,20,0.1899368470160807
MKD,MKD,4,7.0,4.0,2.8607594936708862,2.167167919799499,0.0,0.0,0,0.0,0,0.0,0,0.0
FLK,FLK,1,1.0,5.0,3.0316455696202533,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
MRT,MRT,2,4.0,4.0,2.7151898734177213,0.07142857142857142,0.0,0.0,0,0.0,0,0.0,0,0.0
CZE,CZE,5,13.0,4.0,2.2911392405063293,0.46590909090909094,0.0042342977,0.0042342977,3,0.004677751710929918,0,0.9,9,0.13972555717448845
