Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
BGR,BGR,18.0,4.0,2.2781065088757395,3.622481521559458,0.0048701297,0.0048701297,1,0.0051727462162839055,0
CRI,CRI,8.0,5.0,3.289940828402367,0.0,0.0,0.0,0,0.0,0
MAC,MAC,1.0,5.0,2.6272189349112427,0.0,0.0,0.0,0,0.0,0
PNG,PNG,9.0,5.0,2.710059171597633,2.7014705882352943,0.0,0.0,0,0.0,0
FLK,FLK,6.0,5.0,2.5502958579881656,0.0,0.0,0.0,0,0.0,0
BRN,BRN,2.0,5.0,3.0828402366863905,0.0,0.0,0.0,0,0.0,0
MOZ,MOZ,2.0,4.0,2.9171597633136095,0.35,0.0,0.0,0,0.0,0
TGO,TGO,2.0,5.0,2.739644970414201,1.0363978127136022,0.0,0.0,0,0.0,0
BHS,BHS,3.0,4.0,2.3905325443786984,0.0,0.0,0.0,0,0.0,0
MKD,MKD,1.0,5.0,3.1301775147928996,0.0,0.0,0.0,0,0.0,0
MCO,MCO,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GNQ,GNQ,1.0,5.0,3.42603550295858,0.0,0.0,0.0,0,0.0,0
BLR,BLR,10.0,5.0,2.455621301775148,0.6339285714285714,0.0,0.0,0,0.0,0
MWI,MWI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
COD,COD,8.0,4.0,3.0236686390532546,0.0,0.0,0.0,0,0.0,0
ARM,ARM,4.0,4.0,2.5207100591715976,0.0,0.0,0.0,0,0.0,0
LUX,LUX,2.0,5.0,2.9289940828402368,0.0,0.0,0.0,0,0.0,0
SYC,SYC,8.0,4.0,2.272189349112426,15.576756102748876,0.0,0.0,0,0.0,0
GRL,GRL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MNG,MNG,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MUS,MUS,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TTO,TTO,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
EST,EST,2.0,5.0,2.7633136094674557,0.0,0.0,0.0,0,0.0,0
MLT,MLT,1.0,4.0,2.940828402366864,0.0,0.0,0.0,0,0.0,0
DJI,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TKM,TKM,1.0,5.0,3.0059171597633134,0.0,0.0,0.0,0,0.0,0
SUR,SUR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UZB,UZB,4.0,4.0,2.7159763313609466,0.29329004329004327,0.0,0.0,0,0.0,0
ERI,ERI,5.0,4.0,2.514792899408284,0.0,0.0,0.0,0,0.0,0
GNB,GNB,3.0,5.0,3.3254437869822486,0.0,0.0,0.0,0,0.0,0
AGO,AGO,2.0,5.0,2.6804733727810652,0.0,0.0,0.0,0,0.0,0
GRD,GRD,3.0,4.0,3.029585798816568,0.6242424242424243,0.0,0.0,0,0.0,0
VUT,VUT,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BWA,BWA,1.0,5.0,3.1597633136094676,0.0,0.0,0.0,0,0.0,0
TJK,TJK,1.0,5.0,3.059171597633136,0.0,0.0,0.0,0,0.0,0
FSM,FSM,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PLW,PLW,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
