Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Authority,Hub
SOM,SOM,6,18.0,3.0,1.9875,2.5557862888745233,2,0.006983950024793237,0,0.5333333333333333,8,0.15005966432663423,0.006278027,0.006278027
NLD,NLD,8,25.0,3.0,2.1125,8.184788021538994,2,0.007633261102275115,0,0.42857142857142855,9,0.13860529080489148,0.0071748877,0.0071748877
CHL,CHL,8,34.0,3.0,2.0,7.909894816438807,3,0.008645939784522626,0,0.42857142857142855,12,0.1411493461004834,0.008071749,0.008071749
URY,URY,5,12.0,3.0,2.0125,0.6315396879356836,2,0.005674007536833897,0,0.7,7,0.1682605789925894,0.005381166,0.005381166
BHR,BHR,3,3.0,4.0,2.596026490066225,3.63459595959596,0,0.0,0,0.0,0,0.0,0.0,0.0
MAR,MAR,4,9.0,4.0,2.6754966887417218,3.2263202059986207,0,0.0,0,0.0,0,0.0,0.0,0.0
KGZ,KGZ,2,3.0,4.0,2.3443708609271523,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
HUN,HUN,3,4.0,4.0,2.6887417218543046,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
LAO,LAO,1,3.0,5.0,3.1788079470198674,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
POL,POL,8,21.0,3.0,1.9625,1.0090066795949149,2,0.008152206469277777,0,0.7857142857142857,22,0.21485159090311234,0.008071749,0.008071749
BGR,BGR,4,7.0,4.0,2.6821192052980134,2.231579939668175,0,0.0,0,0.0,0,0.0,0.0,0.0
SAU,SAU,10,24.0,3.0,1.9375,8.303187010402501,2,0.010004791301035538,0,0.4666666666666667,21,0.2288163770220268,0.009865471,0.009865471
PRY,PRY,1,1.0,5.0,3.615894039735099,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
NZL,NZL,3,3.0,4.0,2.3245033112582782,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
PAN,PAN,8,13.0,3.0,2.3625,10.086963205827303,2,0.008787516424097372,0,0.25,7,0.10463775565482089,0.008071749,0.008071749
DZA,DZA,7,13.0,3.0,2.2625,0.19090909090909092,2,0.0049680784156965535,0,0.6666666666666666,4,0.10084879422622958,0.004484305,0.004484305
