Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
IRQ,IRQ,518.0,3.0,1.8333333333333333,390.15165241775503,0.025622776,0.025622776,0,0.028135149595818098,0,0.4187192118226601,170,0.6847285884060474
FRA,FRA,377.0,3.0,1.7916666666666667,802.9263965987275,0.02633452,0.02633452,0,0.03194954108129014,0,0.3487903225806452,173,0.6932472474663092
USA,USA,1056.0,3.0,1.4652777777777777,3102.5269248760387,0.05836299,0.05836299,0,0.05781378685371514,0,0.2026618269812462,335,1.0
HKG,HKG,114.0,4.0,2.0416666666666665,63.2303090303088,0.009252669,0.009252669,2,0.010815366932900453,0,0.8222222222222222,37,0.33443298184751574
SLE,SLE,14.0,4.0,2.125,75.71857639675649,0.00569395,0.00569395,0,0.009007993874588678,0,0.47619047619047616,10,0.18024953021389648
RUS,RUS,720.0,3.0,1.7152777777777777,1008.7832281759984,0.035587188,0.035587188,1,0.03217130784085139,0,0.36363636363636365,192,0.7292836564985278
UKR,UKR,604.0,3.0,1.8541666666666667,400.3710011081962,0.023487544,0.023487544,1,0.023648457090749857,0,0.44565217391304346,123,0.585136475343439
KOR,KOR,25.0,4.0,2.1875,0.0,0.004270463,0.004270463,2,0.006569251080389066,0,1.0,10,0.15700670567737834
GBR,GBR,381.0,3.0,1.7430555555555556,880.6174128655924,0.034163702,0.034163702,0,0.04022464933796702,0,0.28292682926829266,232,0.819502282940208
SYR,SYR,602.0,3.0,1.8263888888888888,509.5671066772084,0.02633452,0.02633452,0,0.029790833729995407,0,0.3333333333333333,145,0.6389333193925641
PSE,PSE,176.0,4.0,2.1805555555555554,19.238165512048166,0.010676157,0.010676157,3,0.014720829172468454,0,0.5054945054945055,46,0.33173496966356025
DEU,DEU,143.0,3.0,1.8958333333333333,278.91777794965765,0.020640569,0.020640569,1,0.02695210087733329,0,0.3817663817663818,134,0.614064401465395
DZA,DZA,74.0,4.0,2.3125,17.25576389082193,0.0049822065,0.0049822065,0,0.006466486692621389,0,0.7,7,0.15446498998254435
IRN,IRN,163.0,4.0,1.9930555555555556,73.1671143075825,0.014234875,0.014234875,0,0.018326608571623625,0,0.5228758169934641,80,0.46336618805409446
BOL,BOL,46.0,4.0,2.1180555555555554,79.5227018813441,0.012811388,0.012811388,1,0.016767328508087438,0,0.38333333333333336,46,0.33760070248656
VAT,VAT,70.0,4.0,2.076388888888889,384.04641053779005,0.015658364,0.015658364,4,0.017815859997197654,0,0.36764705882352944,50,0.3618760708851318
NGA,NGA,39.0,3.0,2.0416666666666665,260.1834343421644,0.010676157,0.010676157,2,0.01202920547022119,0,0.45454545454545453,25,0.27737316407865525
CHN,CHN,366.0,3.0,1.625,2314.2738932160387,0.04483986,0.04483986,2,0.04153450306931145,0,0.2451219512195122,201,0.7562364922263881
YEM,YEM,22.0,4.0,2.375,3.030067155067155,0.00569395,0.00569395,0,0.008635095623335908,0,0.5238095238095238,11,0.15949190063288893
ISR,ISR,225.0,4.0,1.8888888888888888,163.2898520636467,0.018505339,0.018505339,3,0.023370497145401598,0,0.463768115942029,128,0.5875382109669265
TJK,TJK,11.0,4.0,2.5694444444444446,1.7449346405228758,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
MEX,MEX,35.0,4.0,2.1875,22.795318255302778,0.008540926,0.008540926,0,0.010970056653134136,0,0.5555555555555556,25,0.264627265687441
TUR,TUR,169.0,4.0,2.0277777777777777,61.5083573494143,0.0113879,0.0113879,0,0.014604592778540254,0,0.5714285714285714,52,0.3774970224271605
LBR,LBR,18.0,4.0,2.2916666666666665,110.350791120644,0.00569395,0.00569395,0,0.00796462736410063,0,0.6,9,0.15743066276476247
MDV,MDV,7.0,4.0,2.611111111111111,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
BRA,BRA,15.0,4.0,2.1597222222222223,18.312390749252078,0.0071174377,0.0071174377,0,0.010666127096554172,0,0.4722222222222222,17,0.20044890721046002
CUB,CUB,33.0,4.0,2.1527777777777777,70.02619042255063,0.009252669,0.009252669,0,0.011770057842659934,0,0.3333333333333333,15,0.1954027695226818
AFG,AFG,59.0,4.0,2.076388888888889,63.01601596128522,0.0113879,0.0113879,0,0.013676419221634914,0,0.6153846153846154,48,0.36146003047972164
ITA,ITA,64.0,3.0,1.8680555555555556,507.22010480777453,0.019928826,0.019928826,4,0.022038107266264637,0,0.43722943722943725,101,0.5363177648650735
AUS,AUS,102.0,4.0,1.9652777777777777,244.50101296327966,0.017081851,0.017081851,2,0.02025979340187917,0,0.4368421052631579,83,0.4636883271762416
IND,IND,157.0,3.0,1.9930555555555556,146.73663182398292,0.012811388,0.012811388,2,0.015643302503499122,0,0.5047619047619047,53,0.3851585687619745
PHL,PHL,36.0,4.0,2.1458333333333335,7.018200100553038,0.006405694,0.006405694,2,0.009212809859100385,0,0.75,21,0.2548728082361221
TUN,TUN,1.0,4.0,2.7847222222222223,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
EGY,EGY,56.0,4.0,2.076388888888889,250.2528134145134,0.013523132,0.013523132,3,0.016808911209451185,0,0.39166666666666666,47,0.36649247273671537
PRK,PRK,65.0,4.0,2.125,4.627380952380952,0.006405694,0.006405694,0,0.0094562332890312,0,0.75,21,0.23140704800442416
JPN,JPN,103.0,4.0,2.0347222222222223,234.15387686105214,0.012099644,0.012099644,2,0.012909189391697856,0,0.6666666666666666,44,0.32844746450908685
POL,POL,36.0,4.0,2.1875,12.292598589347813,0.0071174377,0.0071174377,1,0.00801484221444614,0,1.0,21,0.25311401881162093
SOM,SOM,42.0,4.0,2.3194444444444446,14.927338470353172,0.00569395,0.00569395,0,0.008278401652873395,0,0.4,6,0.138896413276206
ARG,ARG,38.0,3.0,2.0555555555555554,198.25868773701384,0.012811388,0.012811388,4,0.01372426699108379,0,0.5897435897435898,46,0.3414522430088801
CMR,CMR,4.0,4.0,2.7152777777777777,0.3169802867383512,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
JAM,JAM,21.0,4.0,2.2777777777777777,0.0,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
PRT,PRT,1.0,4.0,2.736111111111111,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
ESP,ESP,83.0,3.0,1.9305555555555556,243.35578758449185,0.018505339,0.018505339,0,0.020391675273640567,0,0.4473684210526316,85,0.48272791966744316
MLI,MLI,6.0,4.0,2.5555555555555554,10.436074464750932,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
MDA,MDA,4.0,4.0,2.6180555555555554,1.333766233766234,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
UGA,UGA,13.0,4.0,2.4097222222222223,14.914073074552613,0.004270463,0.004270463,2,0.005212501448767535,0,0.3333333333333333,1,0.06808062479544731
LBY,LBY,26.0,3.0,2.125,43.98471007871847,0.009964413,0.009964413,0,0.014353909352849335,0,0.3717948717948718,29,0.29152529154550444
BIH,BIH,10.0,4.0,2.3541666666666665,22.169042069042067,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
PAK,PAK,47.0,4.0,2.1666666666666665,11.575797558035811,0.0071174377,0.0071174377,2,0.010386533186988081,0,0.5277777777777778,19,0.23087300480692943
BLR,BLR,27.0,4.0,2.6458333333333335,0.4444444444444444,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
SLV,SLV,2.0,4.0,2.7083333333333335,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
LKA,LKA,19.0,4.0,2.326388888888889,17.393828898539343,0.006405694,0.006405694,2,0.009489759100676332,0,0.5357142857142857,15,0.17870225102910764
BHR,BHR,1.0,5.0,3.0694444444444446,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
CAN,CAN,63.0,4.0,1.9791666666666667,70.4272183717089,0.012811388,0.012811388,0,0.016317204828336315,0,0.575,69,0.4366862555527067
MNG,MNG,7.0,4.0,2.423611111111111,0.0,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
KHM,KHM,14.0,4.0,2.5625,14.617564745196326,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
SAU,SAU,44.0,4.0,2.201388888888889,18.412593922351864,0.009252669,0.009252669,0,0.013062501118138687,0,0.5,33,0.2941750148370213
MYS,MYS,12.0,4.0,2.1458333333333335,4.546330708298793,0.00569395,0.00569395,1,0.007193576063683296,0,0.9333333333333333,14,0.2143481264544338
SWE,SWE,7.0,4.0,2.3194444444444446,0.8409090909090908,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
ISL,ISL,3.0,4.0,2.6180555555555554,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
IDN,IDN,7.0,4.0,2.25,0.0,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
COL,COL,18.0,4.0,2.3125,12.835651523623318,0.0071174377,0.0071174377,1,0.00952133102432634,0,0.5357142857142857,15,0.15956297006554915
NZL,NZL,2.0,4.0,2.4583333333333335,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
CYP,CYP,10.0,4.0,2.6875,1.2115995115995115,0.004270463,0.004270463,0,0.006617598095196403,0,0.6,6,0.09861350263679891
VEN,VEN,27.0,4.0,2.2152777777777777,11.83561310865089,0.008540926,0.008540926,0,0.011876752900142422,0,0.5818181818181818,32,0.28180509267424353
BEN,BEN,1.0,4.0,2.6180555555555554,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
SDN,SDN,44.0,4.0,2.2708333333333335,25.97825017182403,0.006405694,0.006405694,2,0.008885676407281745,0,0.38095238095238093,8,0.16326463708862649
FJI,FJI,16.0,4.0,2.7083333333333335,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
WSM,WSM,1.0,4.0,2.4583333333333335,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
GTM,GTM,3.0,4.0,2.4375,0.16666666666666666,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
SEN,SEN,8.0,4.0,2.923611111111111,6.712121212121213,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
LBN,LBN,33.0,4.0,2.2083333333333335,4.325821645674584,0.006405694,0.006405694,0,0.00914852412004029,0,0.7857142857142857,22,0.2346334422463195
SSD,SSD,30.0,4.0,2.576388888888889,4.821825396825395,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
THA,THA,45.0,4.0,2.1666666666666665,8.764465355469406,0.00569395,0.00569395,0,0.008497328940507453,0,0.6190476190476191,13,0.20233496745980603
CZE,CZE,5.0,4.0,2.486111111111111,0.0,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
QAT,QAT,28.0,4.0,2.236111111111111,2.7327627983916014,0.0071174377,0.0071174377,3,0.009857641031559405,0,0.75,27,0.2762213520556645
ZAF,ZAF,35.0,4.0,2.0694444444444446,293.4495775699161,0.008540926,0.008540926,2,0.010005137789369213,0,0.6111111111111112,22,0.25711852314645345
MMR,MMR,9.0,4.0,2.4583333333333335,9.00916361062345,0.0049822065,0.0049822065,2,0.006747737231139973,0,0.5,5,0.11049522460597481
PER,PER,7.0,4.0,2.3958333333333335,0.39603729603729604,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
CHL,CHL,24.0,4.0,2.263888888888889,66.11014443187153,0.009252669,0.009252669,0,0.011886529629049743,0,0.3111111111111111,14,0.19200133843140513
HUN,HUN,5.0,4.0,2.6527777777777777,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
GRC,GRC,15.0,4.0,2.236111111111111,25.308286185443944,0.009252669,0.009252669,0,0.012704832455612087,0,0.5303030303030303,35,0.3139051064525118
NLD,NLD,12.0,4.0,2.2430555555555554,3.0927339172695207,0.006405694,0.006405694,0,0.009198546741411956,0,0.6785714285714286,19,0.22650309870573165
BWA,BWA,1.0,5.0,3.0625,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
BEL,BEL,58.0,4.0,2.048611111111111,51.75790344486019,0.014946619,0.014946619,0,0.020161155596370765,0,0.4842105263157895,92,0.5022084853283624
KEN,KEN,8.0,4.0,2.4166666666666665,0.5333333333333333,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
